Name,ResourceName,ResourceType,ResourceGroupName,Location
specializedVMPublicIP,specializedVMPublicIP,Microsoft.Network/publicIPAddresses,demo,eastus
specializedVMVNET,specializedVMVNET,Microsoft.Network/virtualNetworks,demo,eastus
testingvnet,testingvnet,Microsoft.Network/virtualNetworks,demo,eastus
demotestvm,demotestvm,Microsoft.ClassicCompute/domainNames,demotestvm,eastus
demotestvm,demotestvm,Microsoft.ClassicCompute/virtualMachines,demotestvm,eastus
availabilityset1,availabilityset1,Microsoft.Compute/availabilitySets,devopsgroup,westeurope
myubuntu,myubuntu,Microsoft.Compute/virtualMachines,devopsgroup,westeurope
myubuntu/CustomScriptForLinux,myubuntu/CustomScriptForLinux,Microsoft.Compute/virtualMachines/extensions,devopsgroup,westeurope
prodloadbalancer,prodloadbalancer,Microsoft.Network/loadBalancers,devopsgroup,westeurope
uatloadbalancer,uatloadbalancer,Microsoft.Network/loadBalancers,devopsgroup,westeurope
myubuntu179,myubuntu179,Microsoft.Network/networkInterfaces,devopsgroup,westeurope
puppetagent1,puppetagent1,Microsoft.Network/networkInterfaces,devopsgroup,westeurope
puppetagent2,puppetagent2,Microsoft.Network/networkInterfaces,devopsgroup,westeurope
puppetmaster,puppetmaster,Microsoft.Network/networkInterfaces,devopsgroup,westeurope
myubuntu-ip,myubuntu-ip,Microsoft.Network/publicIPAddresses,devopsgroup,westeurope
prodpublicip,prodpublicip,Microsoft.Network/publicIPAddresses,devopsgroup,westeurope
puppetagentip1,puppetagentip1,Microsoft.Network/publicIPAddresses,devopsgroup,westeurope
puppetagentip2,puppetagentip2,Microsoft.Network/publicIPAddresses,devopsgroup,westeurope
puppetmasterip,puppetmasterip,Microsoft.Network/publicIPAddresses,devopsgroup,westeurope
uatpublicip,uatpublicip,Microsoft.Network/publicIPAddresses,devopsgroup,westeurope
devopsvnet,devopsvnet,Microsoft.Network/virtualNetworks,devopsgroup,westeurope
divademo,divademo,microsoft.insights/components,divademorg,eastus
AutomationTest,AutomationTest,Microsoft.Automation/automationAccounts,forsample,northeurope
AutomationTest/AzureAutomationTutorial,AutomationTest/AzureAutomationTutorial,Microsoft.Automation/automationAccounts/runbooks,forsample,northeurope
AutomationTest/AzureAutomationTutorialScript,AutomationTest/AzureAutomationTutorialScript,Microsoft.Automation/automationAccounts/runbooks,forsample,northeurope
AutomationTest/AzureClassicAutomationTutorial,AutomationTest/AzureClassicAutomationTutorial,Microsoft.Automation/automationAccounts/runbooks,forsample,northeurope
AutomationTest/AzureClassicAutomationTutorialScript,AutomationTest/AzureClassicAutomationTutorialScript,Microsoft.Automation/automationAccounts/runbooks,forsample,northeurope
AutomationTest/Shutdown-Start-VMs-By-Resource-Group,AutomationTest/Shutdown-Start-VMs-By-Resource-Group,Microsoft.Automation/automationAccounts/runbooks,forsample,northeurope
AutomationTest/Start-VMsInOrder,AutomationTest/Start-VMsInOrder,Microsoft.Automation/automationAccounts/runbooks,forsample,northeurope
AutomationTest/Stop-AllAzureVMs,AutomationTest/Stop-AllAzureVMs,Microsoft.Automation/automationAccounts/runbooks,forsample,northeurope
AutomationTest/Stop-VMsInOrder,AutomationTest/Stop-VMsInOrder,Microsoft.Automation/automationAccounts/runbooks,forsample,northeurope
rds-ad-poc702,rds-ad-poc702,Microsoft.Network/networkInterfaces,forsample,northeurope
rds-desti124,rds-desti124,Microsoft.Network/networkInterfaces,forsample,northeurope
rds-vm488,rds-vm488,Microsoft.Network/networkInterfaces,forsample,northeurope
testvm335,testvm335,Microsoft.Network/networkInterfaces,forsample,northeurope
testvm-nsg,testvm-nsg,Microsoft.Network/networkSecurityGroups,forsample,northeurope
testvm-ip,testvm-ip,Microsoft.Network/publicIPAddresses,forsample,northeurope
forsample-vnet,forsample-vnet,Microsoft.Network/virtualNetworks,forsample,northeurope
forsample599,forsample599,Microsoft.Storage/storageAccounts,forsample,northeurope
sanjaytest26,sanjaytest26,Microsoft.Network/networkInterfaces,forsanjay,westus
